experiment_id,throughput (ops/sec),parameter-MongoDB.mongodb_cache_size (megabytes),parameter-MongoDB.mongodb_eviction_dirty_target (percent),parameter-MongoDB.mongodb_eviction_dirty_trigger (percent),parameter-MongoDB.mongodb_syncdelay (seconds),parameter-OS.os_CPUSchedAutogroupEnabled,parameter-OS.os_CPUSchedChildRunsFirst,parameter-OS.os_CPUSchedLatency (nanoseconds),parameter-OS.os_CPUSchedMigrationCost (nanoseconds),parameter-OS.os_cpuSchedMinGranularity (nanoseconds),parameter-OS.os_CPUSchedNrMigrate,parameter-OS.os_cpuSchedWakeupGranularity (nanoseconds),parameter-OS.os_MemorySwap,parameter-OS.os_MemorySwappiness (percent),parameter-OS.os_MemoryTransparentHugepageDefrag,parameter-OS.os_MemoryTransparentHugepageEnabled,parameter-OS.os_MemoryVmDirtyBackgroundRatio (percent),parameter-OS.os_MemoryVmDirtyExpire (centiseconds),parameter-OS.os_MemoryVmDirtyRatio (percent),parameter-OS.os_MemoryVmDirtyWriteback (centiseconds),parameter-OS.os_MemoryVmMinFree (kilobytes),parameter-OS.os_MemoryVmVfsCachePressure (percent),parameter-OS.os_NetworkNetCoreNetdevBudget (packets),parameter-OS.os_NetworkNetCoreNetdevMaxBacklog (packets),parameter-OS.os_NetworkNetCoreRmemMax (bytes),parameter-OS.os_NetworkNetCoreSomaxconn (connections),parameter-OS.os_NetworkNetCoreWmemMax (bytes),parameter-OS.os_NetworkNetIpv4TcpFinTimeout (seconds),parameter-OS.os_NetworkNetIpv4TcpMaxSynBacklog (packets),parameter-OS.os_NetworkNetIpv4TcpSlowStartAfterIdle,parameter-OS.os_NetworkRfs,parameter-OS.os_StorageMaxSectorsKb (kilobytes),parameter-OS.os_StorageNomerges,parameter-OS.os_StorageNrRequests (requests),parameter-OS.os_StorageQueueScheduler,parameter-OS.os_StorageReadAhead (kilobytes),parameter-OS.os_StorageRqAffinity
76,8756.5318402377,30693,44,81,124,1,1,159265876,2270938,23564702,235,11644542,swapon,96,always,always,79,21193,95,1532,662847,24,1385,7127,1765577,1163,1773072,441,263,1,55264,75,0,645,cfq,10,2
77,6824.33807164972,30395,83,24,330,0,1,42080431,2787508,12021539,11,39336746,swapoff,50,never,never,81,19862,99,3633,344239,73,1343,6209,1272213,814,893541,121,3877,1,110882,87,1,1027,deadline,4,2
78,9937.17932683771,30720,79,59,60,0,0,157250623,5000000,473116,3,400000,swapoff,0,never,always,1,30000,1,5000,10240,10,30,470,2129920,777,686568,600,52,0,0,63,2,1280,cfq,3,2
79,9562.91933233088,30720,58,90,270,0,1,166117045,1098123,20815010,320,39881680,swapoff,44,always,always,1,22740,1,1505,728341,83,2137,8330,1808937,311,1099826,8,124,0,84733,85,1,12,noop,3,2
80,6671.0486328125,22995,29,36,176,1,1,181228279,1273865,6013265,105,590644,swapoff,39,never,always,6,2541,96,2230,429131,29,1530,7229,464561,508,82102,600,3600,1,122376,82,0,1225,noop,7,2
81,9016.28807206587,30720,90,20,60,0,0,125112578,5000000,495146,3,400000,swapoff,0,never,always,1,30000,1,5000,10240,13,30,546,2129920,708,834165,600,851,0,0,82,2,12,noop,3,2
82,9271.55261997768,30720,84,79,111,0,0,171778373,2703358,13862315,203,400000,swapoff,98,always,never,99,6151,1,2485,631530,73,2146,1741,1864865,627,668591,507,1766,0,70937,64,1,180,cfq,8,2
83,9381.2255748402,30720,40,56,242,1,0,169788000,4686010,28627036,196,400000,swapoff,72,never,always,1,26389,1,4468,1006473,15,938,5589,377071,594,420021,387,4161,0,65608,101,1,1106,cfq,7,2
84,9823.59627463601,30720,59,90,325,0,1,143904505,709074,16969944,109,12251307,swapoff,32,always,always,1,20188,46,4020,144387,95,1104,5099,2129920,101,1852004,369,3689,0,71021,45,2,722,deadline,8,2
85,9716.92658303001,30720,14,90,306,0,0,127608779,254064,300000,207,400000,swapon,0,always,never,42,2506,1,5000,658860,29,30,100,2129920,12,932031,600,3313,0,131072,44,2,1280,noop,7,2
86,9953.9171875,30720,82,61,231,0,0,42091699,2537824,16897031,177,40000000,swapoff,76,never,always,99,29706,1,1951,509965,24,1054,3980,1721392,920,1419473,433,2540,1,69581,83,1,182,cfq,3,2
87,7656.13294774836,30720,62,20,245,0,0,235247941,4423433,8522837,176,40000000,swapoff,99,always,always,11,27865,99,2672,244210,67,480,259,520400,12,307136,588,4687,1,7244,89,1,481,deadline,6,1
88,7345.68427831476,30720,5,51,77,1,1,68107264,1291993,20313476,96,40000000,swapoff,100,always,never,38,300,99,3952,191753,54,2306,9764,2129920,188,871009,573,4358,0,38713,118,0,983,cfq,7,1
89,9579.69660256126,30720,75,88,266,1,1,51675507,1007237,4286201,118,400000,swapoff,25,never,always,1,22553,78,1628,257665,49,2570,2462,2026051,539,1060665,54,2436,1,102904,72,2,684,noop,7,2
90,9035.2776827567,30720,21,56,197,1,0,158855423,1855874,27733464,266,27487740,swapoff,74,always,never,21,300,1,600,264642,99,2529,6904,2129920,966,76766,183,2494,0,33129,55,2,153,cfq,7,2
